ck_id,lat,lng,additional_notes,base_area,base_perimeter,base_shape,birthID,bolted_to_ground,condition_notes,depth,faucet_design,faucet_height_cm,faucet_length_cm,flow_rate,format,height,height_cm,high_traffic_area,material,number_of_drains,old_code,original_paint_remaining_pct,owner,parish,raised_drain,risk_factor_algae_pct,risk_factor_graffiti_pct,risk_factor_grime,risk_factor_missing_pieces,risk_factor_overall_damage_pct,risk_factor_rust_percent,risk_factor_surface_damage_percent,running,service_panel,sestiere_or_island,street,street_address,subtype,surface_area_sq_cm,totalDonated,type,visibility,width,width_cm,wiki_friendly_title
5fc4c88e-1b5c-20b5-934d-62150b8c5924,45.459209,12.356117,,86.65986651,33,Circle,MU05F,FALSE,,8,spout,76,8,0,JPEG,3264,86,,metal,1,,,City of Venice,,,0,40,80,50,,45,50,,TRUE,Murano,Calle del Convento Pescheria,MU05,Other,2972.659867,,,medium,1840,,Fountain - MU05F_2014
60ef32f7-8acd-c01b-13c9-ab38e781ee88,45.44314986,12.32479991,One holes,0,0,other,CN307F,FALSE,,8,spout,49,17,1.1,JPEG,3264,57,TRUE,stone,1,66,90,VESTA,unknown,TRUE,0,0,low,none,15,10,0,TRUE,FALSE,Cannaregio,Campo S. Geremia,CN307,well,unknown,0,fountain,medium,2448,unknown,Fountain - CN307F_2014
614c9c49-3822-959b-ba0b-1be2fa4b15e5,45.4388908,12.3427085,There's a push button,2343,238,square with rounded corners,CS6368F,TRUE,,8,lion,80,8,6.6,JPEG,3264,138,FALSE,metal,1,108,5,City of Venice,unknown,FALSE,10,0,medium,none,unknown,5,3,FALSE,TRUE,Castello,Calle de la Cavallerizza,CS6368,type B,14054,0,fountain,medium,2448,59.5,Fountain - CS6368F_2014
620f731c-3902-2a87-3fb1-cfc11c73e492,45.43979713,12.3325576,,3234,238,square with rounded corners,SP1677F,TRUE,basin filled with concrete,8,lion,81,8,0,JPEG,3264,124,FALSE,metal,1,20,0,City of Venice,unknown,TRUE,0,0,high,some,20,80,30,TRUE,TRUE,San Polo,Sotoportego del Pin o de la Scrimia,SP1677,type B,14054,0,fountain,low,2448,59.5,Fountain - SP1677F_2014
638fe3cf-9855-f132-7964-c353c10f442e,45.43001142,12.32408017,two spouts,2314,190,octagon,DD401F,FALSE,two spouts,8,lion,94,9,"3.9, 0.1",JPEG,3264,124,TRUE,stone,2,22,0,VESTA,S. Trovaso,FALSE,20,0,high,none,16,0,0,TRUE,TRUE,Dorsoduro,Zatare al Ponte Longo,DD401,other,25874,0,fountain,high,2448,26.8,Fountain - DD401F_2014
64410ad1-e763-8183-b7f2-599da21161f5,45.43429163,12.32856022,Cracked lid; basin filled with concrete; missing side of base,3234,238,square with rounded corners,SM3299F,FALSE,cracked lid; basin filled with concrete; missing side of base,8,lion,80,8,0,JPEG,3264,140,FALSE,metal,1,45,5,VESTA,S. Stefano,TRUE,5,0,medium,some,28,80,15,FALSE,FALSE,San Marco,Corte Lezze,SM3299,type B,14054,0,fountain,low,2448,59.5,Fountain - SM3299F_2014
649931d4-7cc5-885b-9b6d-bc596f00e5d1,45.432569,12.312986,Disfunctional new metal spout attached on lion head.,1165.093761,121,Circle,DD2088F,TRUE,,8,lion,88,0,0,JPEG,3264,128,,metal,1,,,City of Venice,,,0,0,20,50,,5,0,,TRUE,Dorsoduro,"calle larga Riosa, calle larga ca matta",DD2088,Type B_Puglia,16653.09376,,,Low,2448,,Fountain - DD2088F_2014
65a23269-7b14-6876-4890-aa9d516cb358,45.43836248,12.34525972,Had top drinking hole,625,100,square,CS6550F,TRUE,,8,spout,67,18,7.7,JPEG,3264,99,FALSE,metal,1,107,0,City of Venice,Ss. Giovanni e Paolo,FALSE,45,0,medium,none,unknown,20,2,FALSE,TRUE,Castello,Campo de S. Giustina Detto de Barbaria,CS6550,other,7775,0,fountain,high,2448,25,Fountain - CS6550F_2014
67b27136-85bb-b77f-b75c-24037dbc78b0,45.44594443,12.31872707,Tybe B with no base,452,79,circle,CN718F,FALSE,type b with no base,8,lion,80,8,0,JPEG,3264,97,FALSE,metal,1,105,2,City of Venice,unknown,FALSE,0,0,Low,None,22,5,5,TRUE,TRUE,Cannaregio,Campiello de le Becarie,CN718,other,7505,0,fountain,Low,2448,unknown,Fountain - CN718F_2014
690b2acb-0220-b586-a429-f18ecc2d4bca,45.495096,12.412502,,1008.0625,127,Square,TL0F,FALSE,,8,lion,102,13,1.66,JPEG,3264,150,,metal,1,,,City of Venice,,,10,0,50,0,,50,10,,TRUE,Torcello,Fondamenta Inbarcadero,TL0,Type H_Neri,20227.0625,,,high,1840,,Fountain - TL0F_2014
